指标,地区,频度,单位,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
国内生产总值,神农架林区,年,亿元,,2.82,3.15,3.53,3.89,4.55,5.41,6.19,6.96,7.97,10.29,12.3,14.53,16.81,18.57,20.24
国内生产总值,中牟县,年,万元,,397113,454322,506565,585339,710610,902217,1194195,1533683,1939652,2225828,2646387,3713810,4829216,5513732.27,7262708.96
国内生产总值,巩义市,年,亿元,86.04,98.24,110.78,122.63,150.02,191.19,232.71,242.87,290.68,349.66,352.8,419.31,468.03,527.8,581.22,607.57
国内生产总值,荥阳市,年,万元,568583,637815,713717,805017,945737,1111442,1453087,1900608,2395273,3063028,3156762,3587562,4326548,4580493,5200436.39,5702519
国内生产总值,新密市,年,万元,614339,690078,766849,855850,983890,1246604,1654243,2092218,2616699,3210270,3477502,3992392,5004789,5129160,5598318,6018650
国内生产总值,新郑市,年,万元,680166,766029,845243,904735,1035118,1244758,1528647,2021270,2510647,3165616,3276264,3902546,4810195,5313974,6064741.96,6973244.9
国内生产总值,登封市,年,万元,437427,472131,512803,562813,671735,853475,1113122,1521360,1908645,2401598,2585811,3130280,4327632,4311803,4509038.95,4833880
国内生产总值,杞县,年,万元,,381510,435118,451599,459662,593436,744226,877397,942186,1110691,1269986,1560707,1779505,2021907,2284720.67,2467581
国内生产总值,通许县,年,万元,,277154,304157,323291,317814,407831,520223,582982,668104,857224,985422,1189619,1405461,1602226,1779448.85,2001481
国内生产总值,尉氏县,年,万元,,364267,416746,455966,488696,618887,822313,997844,1210020,1458598,1612225,1844406,2166416,2408685,2719843.56,2909314
国内生产总值,开封县,年,万元,,322194,355231,383837,375033,466824,530455,611295,713722,925600,1038777,1245035,1400114,1615571,1872056.75,2001970
国内生产总值,兰考县,年,亿元,,30.5,33.25,35.64,37.15,43.58,50.02,58.03,71.09,89.95,100.24,124.84,148.77,168.98,192.85,213.95
国内生产总值,孟津县,年,万元,,181827,191811,201082,237050,328977,447597,561147,731794,868497,932045,1059947,1397254,1754308,2025838,2212200
国内生产总值,新安县,年,万元,,348496,383441,446878,617367,912864,1180225,1404050,1688485,2013818,2204567,2582550,3048922,3294043,3439188,3488774
国内生产总值,栾川县,年,万元,,117738,119315,149220,182478,279492,532405,690127,1077744,1341353,1176174,1423338,1687777,1590480,1440441.65,1408071
国内生产总值,嵩县,年,万元,,116656,131510,174341,215663,277736,418176,509671,629216,825200,976598,1084900,1275564,1340645,1467493,1338446
国内生产总值,汝阳县,年,万元,,113889,127549,156184,184709,232857,310073,376146,485175,620039,584830,704775,928593,1071666,1155195,1247814
国内生产总值,宜阳县,年,万元,,152031,160552,181868,232452,309922,454870,573380,765810,959054,1075050,1279162,1542524,1752567,1946139,2077595
国内生产总值,洛宁县,年,万元,,129166,134557,158688,187189,246996,335184,410634,521873,666057,787205,931206,1169451,1325036,1387703,1438018
国内生产总值,伊川县,年,万元,,271815,304353,391914,574394,817818,1233524,1452928,1830086,2046277,2048778,2287718,2729136,2768436,2751328,2810272
国内生产总值,偃师市,年,万元,754566,805107,884894,1009430,1239326,1625772,1875395,2246497,2677355,3224459,3350779,3721207,3822539,4321509,3569317,3806238
国内生产总值,宝丰县,年,万元,,307608,318956,351011,400753,513501,615695,760583,922943,1192818,1275910,1559161,2021809,2232963,2329908.57,2484167
国内生产总值,叶县,年,万元,,274817,301948,326404,370241,447937,558480,678872,831479,1082640,1171487,1336714,1528982,1682730,1870677.09,1985959
国内生产总值,鲁山县,年,万元,,191387,203770,215484,234877,288086,355298,448271,531787,646348,672369,757270,910462,1101106,1174529.7,1304504
国内生产总值,郏县,年,万元,,216620,235619,253006,285923,359667,444569,520075,619284,771098,840735,980200,1155468,1206949,1339405.49,1423435
国内生产总值,舞钢市,年,万元,130976,145674,191174,213801,278336,400627,505490,644060,863890,1138850,986079,1092849,1130657,1027791,1019214.4,1074796
国内生产总值,汝州市,年,亿元,56.39,60.25,64.79,69.45,76.54,98.53,114.24,134.99,163.52,210.18,227.28,258.57,283.98,320.43,331.66,347.8
国内生产总值,安阳县,年,万元,,373169,406864,451288,477286,667155,979735,1227252,1521014,2121462,2395008,2858389,3295385,3459509,3460856.38,3439429
国内生产总值,汤阴县,年,万元,,194815,214441,231009,260204,323372,432860,511269,770052,899923,920902,1102366,1198427,1283678,1358052.24,1503814
国内生产总值,滑县,年,亿元,,31.28,33.92,36.84,39.7,50.63,65.94,76.5,94.33,117.07,123.21,136.71,152.56,163.83,183.03,198.7
国内生产总值,内黄县,年,万元,,250973,275980,298611,318773,384277,473300,553748,683511,846719,870373,1006349,1150638,1290750,1449469.55,1634585
国内生产总值,林州市,年,万元,389940,425892,465401,506665,587093,807938,1113220,1360099,1726399,2307463,2718820,3164804,3684403,4037843,4241274.73,4464927
国内生产总值,浚县,年,万元,,227209,246646,265761,315216,401274,467370,547342,659753,752385,826802,963146,1174772,1212153,1412973,1615334
国内生产总值,淇县,年,万元,,207056,224454,246420,288416,394910,487633,607436,724851,929813,998985,1106338,1295084,1461963,1705915,1969060
国内生产总值,新乡县,年,万元,,360831,384535,419599,459366,419810,546838,697118,946944,1227263,1334569,1580945,1976120,1810424,1969806,2008451
国内生产总值,获嘉县,年,万元,,189457,211481,219469,235745,307544,357091,356796,396244,473338,474717,530486,672178,764015,801948,913950
国内生产总值,原阳县,年,万元,,215453,230822,233016,236963,302183,325310,411655,519829,641264,659925,763353,915831,928978,963890,1090833
国内生产总值,延津县,年,万元,,150072,168547,187496,215334,288037,358197,380562,462147,563225,624216,747811,929987,921036,1017225,1140937
国内生产总值,封丘县,年,万元,,190405,206873,228815,236458,301036,341473,390958,465584,583369,599125,700712,833857,953670,1016592,1100947
国内生产总值,长垣县,年,亿元,,26.79,29.9,32.96,37.14,48.06,59.92,72.08,87.15,109.28,119.08,142.09,174.23,193.81,226.64,250.33
国内生产总值,卫辉市,年,万元,226403,218481,227778,246457,264966,317823,369578,426433,537991,663980,671932,802202,935645,1036441,1064233,1140391
国内生产总值,辉县市,年,万元,397825,434038,481614,533139,593500,754242,848383,977602,1183378,1515745,1668585,2072674,2561278,2765802,2895949,3039179
国内生产总值,修武县,年,万元,,155579,166671,185666,257354,369617,502536,669350,715791,768011,784857,882187,984665,935764,1000798,1113285
国内生产总值,博爱县,年,万元,,296217,327850,360509,430435,606708,829843,976485,1204855,1430378,1481385,1595044,1839281,1813353,1997972,2168997
国内生产总值,武陟县,年,万元,,284242,314189,348994,403174,572873,811109,1016021,1282718,1558551,1577663,1921904,2223361,2164999,2499244,2772508
国内生产总值,温县,年,万元,,257563,284028,313071,371320,501094,691722,832833,1033925,1240347,1297542,1477584,1736220,1901021,2107155,2294981
国内生产总值,沁阳市,年,万元,362664,398982,455030,539884,641310,801210,1003853,1233622,1551784,1926513,1950810,2339567,2721044,3005767,3299309,3387044
国内生产总值,孟州市,年,万元,210340,241098,271391,315686,377825,515267,711532,867548,1133202,1370264,1447452,1733421,2076348,2281915,2458415,2586437
国内生产总值,清丰县,年,万元,,260959,256236,284069,302393,371878,435413,501515,611018,792593,912549,1082630,1253986,1400229,1639980.48,1889296
国内生产总值,南乐县,年,万元,,177637,191867,208146,219251,281722,369052,436343,535047,688507,738994,880674,1005441,1079613,1241667.11,1439925
国内生产总值,范县,年,万元,,158292,169121,186981,203332,263368,307020,358212,453763,585022,682664,809782,948309,1034859,1303240.58,1532277
国内生产总值,台前县,年,万元,,104487,116345,128886,142042,175890,233673,268143,317771,399489,458407,535572,629995,679200,724352.35,837196
国内生产总值,濮阳县,年,万元,,311770,361020,399456,403838,531582,722941,866913,1114404,1443169,1650098,1923958,2100894,2356883,2799020.34,3161076
国内生产总值,许昌县,年,万元,,451255,503977,559558,629795,777529,941398,1078416,1256997,1483443,1484220,1692930,1945061,2106429,2370449,3489922
国内生产总值,鄢陵县,年,万元,,337219,371891,415339,464351,618242,803383,949210,1114308,1356320,1401027,1549979,1875495,2050896,2262093,2461422
国内生产总值,襄城县,年,万元,,288401,319385,350039,398420,577716,834832,981584,1236735,1639846,1658282,1986567,2446406,2558166,2802262,2921766
国内生产总值,禹州市,年,万元,670651,752381,833116,923804,1061854,1315741,1454334,1747128,2127663,2652939,2923028,3314492,3848572,4034510,4522527,4877155
国内生产总值,长葛市,年,万元,598758,680857,757835,835084,940009,1118017,1241192,1563465,1869060,2222593,2207533,2598412,3257660,3703704,4108512,4656502
国内生产总值,郾城区,年,亿元,,,,,,,,,,,119.27,135.96,155.63,155.12,160.74,175.76
国内生产总值,舞阳县,年,万元,,216374,241064,257294,270012,340066,391798,486065,553911,754117,755475,881453,1047371,1091732,1182778,1480987
国内生产总值,临颍县,年,万元,,439468,477850,523767,565144,714541,860664,1027910,1090840,1518245,1721124,1936432,1994153,2159305,2351774,2316332
国内生产总值,渑池县,年,万元,,249923,272803,325672,368686,457517,625287,753883,987593,1323759,1354816,1534068,1748033,1893132,2107736,2236015
国内生产总值,陕县,年,万元,,225358,243228,267231,300352,355966,406416,479916,584235,885103,918379,1046725,1186351,1301579,1413691,1506912
国内生产总值,卢氏县,年,万元,,112608,97164,106026,120222,150833,169649,198048,238184,311692,354682,437781,528029,611147,685294,736118
国内生产总值,义马市,年,万元,108450,110524,134623,145078,196180,272968,407562,497322,628365,896027,1000533,1260007,1556284,1617646,1617805,1548437
国内生产总值,灵宝市,年,万元,608963,665871,719791,786750,876913,1059429,1254282,1574734,1881697,2330556,2422040,3321321,3981090,4412404,4686371,4713606
国内生产总值,南召县,年,万元,,284098,325254,332471,383995,491671,572012,647434,702292,708399,780722,936943,1072003,1132996,1052410.89,1129779
国内生产总值,方城县,年,万元,,293323,324392,356638,418416,533764,610619,688362,733503,902540,956548,1091520,1184957,1318130,1456097.35,1594305
国内生产总值,西峡县,年,万元,,231843,259068,288329,341667,420804,553751,682165,879722,1099410,1290183,1508280,1714872,1751289,1903810.43,2066174
国内生产总值,镇平县,年,万元,,627907,696276,758410,843353,1029074,1272908,1402993,1521841,1612137,1368003,1506733,1654605,1786956,1825618.85,1972675
国内生产总值,内乡县,年,万元,,280483,318780,358499,399880,496083,578220,644851,745424,893848,922540,1014390,1105762,1183876,1246757.76,1353921
国内生产总值,淅川县,年,万元,,282701,313364,344860,390365,501678,620030,709683,873847,1034470,1107974,1264053,1454124,1557629,1699667.23,1805988
国内生产总值,社旗县,年,万元,,186235,202444,220167,240830,319649,384364,456453,541493,716123,771741,873557,956592,1024253,1136878.43,1272717
国内生产总值,唐河县,年,万元,,478910,514747,557137,626209,820658,946817,1165830,1349352,1575629,1669508,1840480,1997314,2110717,2275398.3,2439637
国内生产总值,新野县,年,万元,,409062,456096,494901,558635,719255,876568,1022811,1173395,1424495,1428391,1657185,1959103,1974735,2037017.68,2183306
国内生产总值,桐柏县,年,万元,,202305,221359,254453,290580,356878,417080,621836,709845,875738,855943,1001253,1197037,1270204,1344481.5,1297792
国内生产总值,邓州市,年,亿元,61.44,63.77,71.65,77.1,90.31,111.27,128.77,146.47,167.89,207.73,214.2,234.75,260.66,283.46,307.06,328.48
国内生产总值,民权县,年,万元,,263285,296500,322555,309240,403693,541094,612598,721719,860915,931461.89,1074242,1216392,1312475,1498910,1711288
国内生产总值,睢县,年,万元,,269595,301114,335026,325255,433900,512341,581846,676383,779752,840600.32,947943,1055952,1126872,1258811,1361334
国内生产总值,宁陵县,年,万元,,200329,212728,232688,167692,226143,272717,320783,392305,477668,552214.65,626778,690888,742493,817313,895647
国内生产总值,柘城县,年,万元,,250031,274748,264211,246104,294531,395881,505325,609179,748232,887707.07,1048784,1153808,1273357,1397580,1579394
国内生产总值,虞城县,年,万元,,308158,353436,389113,383917,520939,674825,778332,919452,1054750,1160711.5,1315220,1506475,1629889,1808071,2002682
国内生产总值,夏邑县,年,万元,,307371,352700,400831,341079,475893,574833,594330,771543,949081,1029481.89,1175379,1326005,1440046,1562417,1764561
国内生产总值,永城市,年,亿元,45.1,51.28,56.25,61.92,71.62,102.25,131.17,156.54,184.87,240.86,255.94,288.71,351.68,364.44,402.44,412.29
国内生产总值,罗山县,年,万元,,245465,231082,265816,282148,358826,407809,467821,560074,730156,777244,928269,1080442,1180909,1351772.59,1489906
国内生产总值,光山县,年,万元,,229620,207744,247399,278893,365484,427053,498181,590955,747148,816189,946487,1089079,1222709,1379734.42,1535512
国内生产总值,新县,年,万元,,146077,148753,170947,190738,238061,291871,324918,393741,473459,506213,596326,691107,782988,898238.09,1005376
国内生产总值,商城县,年,万元,,209095,219580,245044,259563,324615,396517,450395,535601,669838,719796,848138,985222,1135430,1313982.86,1459998
国内生产总值,固始县,年,亿元,,41.02,44.23,50.82,56.16,72.38,83.92,96.52,112.42,140.37,152.5,175.82,198.68,212.95,236.22,255.85
国内生产总值,潢川县,年,万元,,296115,311796,366962,413464,520036,617674,695687,798413,989002,1047607,1219962,1412878,1608869,1805834,1962062
国内生产总值,淮滨县,年,万元,,159601,154308,186199,198199,260977,323389,401068,496026,632858,676632,806728,899893,1019342,1160048.87,1308505
国内生产总值,息县,年,万元,,206611,194797,245889,264273,364073,450462,515680,621694,762698,874935,1045590,1223393,1350937,1527907.29,1655907
国内生产总值,扶沟县,年,万元,,241351,250424,271308,244464,307838,352894,422382,505764,631063,702566,828993,1048761,1190697,1355925,1458823
国内生产总值,西华县,年,万元,,338548,366823,401677,383087,474472,479280,582335,680343,849528,897029,1040050,1116324,1287682,1535715,1804930
国内生产总值,商水县,年,万元,,255956,286710,317527,310324,401988,464851,549755,654333,840746,893102,1032158,1174152,1465681,1694421,1975435
国内生产总值,沈丘县,年,万元,,286721,307886,345970,323285,412755,544492,633956,799780,968787,1032183,1198874,1422664,1639920,1841599,2046540
国内生产总值,郸城县,年,万元,,293045,329594,367575,362923,485327,528902,602161,794373,1013933,1163705,1373241,1531330,1714391,1874847,1959981
国内生产总值,淮阳县,年,万元,,366427,380445,424963,444959,591734,657176,738410,731078,949973,1109860,1244730,1472323,1594174,1716709,1848425
国内生产总值,太康县,年,万元,,376188,420518,446231,416161,545804,614447,696224,767006,933803,999198,1160886,1372852,1518183,1788073,2003814
国内生产总值,鹿邑县,年,亿元,,40.84,44.61,49.28,49.5,61.94,72.84,82.3,105.66,124.78,135.84,155.5,176.06,191.41,221.79,244.14
国内生产总值,项城市,年,万元,522313,584810,662502,714941,677041,816028,956445,1106187,1270640,1516268,1610931,1801533,1777809,1957668,2213923,2478347
国内生产总值,西平县,年,万元,,393353,438068,466823,478359,574176,599855,663577,754156,867599,886047,1031129,1240686,1369058,1527319.43,1708351
国内生产总值,上蔡县,年,万元,,296538,346344,380953,388670,503522,590550,666801,783991,966466,1018876,1176112,1367423,1488238,1676475.28,1722710
国内生产总值,平舆县,年,万元,,219144,247364,265819,280310,363626,427361,492325,614785,738504,830213,997894,1182822,1320660,1476377.44,1654862
国内生产总值,正阳县,年,万元,,242927,199326,248808,237949,353919,396376,432629,519646,628745,737276,880280,1066800,1142584,1241883.6,1360047
国内生产总值,确山县,年,万元,,226108,243861,228752,241033,315260,357456,402655,481410,603822,694945,804422,959959,1026444,1170557.97,1289791
国内生产总值,泌阳县,年,万元,,268863,301455,326650,347959,425725,468699,536002,649176,825770,922849,1097125,1234386,1392433,1566782.38,1751001
国内生产总值,汝南县,年,万元,,256494,280734,282284,285203,379503,417283,478192,542771,678060,738771,872833,1053832,1199331,1360358.91,1536661
国内生产总值,遂平县,年,万元,,256796,287178,278293,295404,375065,423862,500341,576447,719219,792272,925798,1088337,1219141,1374443.71,1538081
国内生产总值,新蔡县,年,亿元,,25.3,28.11,30.79,32.05,41.02,45.84,51.4,57.19,71.41,81.87,97.95,117.05,129.54,141.8,150.38
国内生产总值,济源市,年,亿元,53.53,59.44,66.23,79.62,94.19,114.67,144.33,181.03,223.74,274.55,287.61,343.38,373.36,430.86,460.13,480.46
国内生产总值,南昌县,年,万元,,,,,,,,,,,,,4375736,5000649,5593600,6090643
国内生产总值,新建县,年,万元,,,,,,,,,,,,,2406108,2706379,3248139,3538552
国内生产总值,安义县,年,万元,,,,,,,,,,,,,753407,860844,830274,905503
国内生产总值,进贤县,年,万元,,,,,,,,,,,,,2339486,2597510,2527040,2745398
国内生产总值,浮梁县,年,万元,,,,,,,,,,,,,740388,898239,972170,1001002
国内生产总值,乐平市,年,万元,,,,,,,,,,,,,2075446,2384353,2571939,2650783
国内生产总值,莲花县,年,万元,,,,,,,,,,,,,395508.66,483876,519056,544436
国内生产总值,上栗县,年,万元,,,,,,,,,,,,,1394567,1472260,1609494,1701900
国内生产总值,芦溪县,年,万元,,,,,,,,,,,,,1028401,1091156,1174897,1256319
国内生产总值,九江县,年,万元,,,,,,,,,,,,,701514,810243,910434,972242
国内生产总值,武宁县,年,万元,,,,,,,,,,,,,725655.74,801459,880944,970055
国内生产总值,修水县,年,万元,,,,,,,,,,,,,965547,1104175,1221296,1301678
国内生产总值,永修县,年,万元,,,,,,,,,,,,,915707,1039321,1154645,1212530
国内生产总值,德安县,年,万元,,,,,,,,,,,,,617826,705127,785014,835400
国内生产总值,星子县,年,万元,,,,,,,,,,,,,490335,554571,622246,675629
国内生产总值,都昌县,年,万元,,,,,,,,,,,,,644936,747924,850909,951197
国内生产总值,湖口县,年,万元,,,,,,,,,,,,,860218,921905,1029371,1089997
国内生产总值,彭泽县,年,万元,,,,,,,,,,,,,542091,613793,693065,845009
国内生产总值,瑞昌市,年,万元,,,,,,,,,,,,,1070119,1259752,1401081,1500359
国内生产总值,共青城市,年,万元,,,,,,,,,,,,,589720,672513,747728,788681
国内生产总值,分宜县,年,万元,,,,,,,,,,,,,1490018,1774484,1916148,2070321
国内生产总值,余江县,年,万元,,,,,,,,,,,,,670039,827037,929321,1040816
国内生产总值,贵溪市,年,万元,,,,,,,,,,,,,2785241,3147421,3369916,3470225
国内生产总值,赣县,年,万元,,,,,,,,,,,,,1049176,1158838,1255529,1325697
国内生产总值,信丰县,年,万元,,,,,,,,,,,,,1123820,1291042,1438334,1531806
国内生产总值,大余县,年,万元,,,,,,,,,,,,,721615,799760,861213,909769
国内生产总值,上犹县,年,万元,,,,,,,,,,,,,381880,430999,469442,508401
国内生产总值,崇义县,年,万元,,,,,,,,,,,,,524906,579638,629940,649050
国内生产总值,安远县,年,万元,,,,,,,,,,,,,398982,444726,488067,523982
国内生产总值,龙南县,年,万元,,,,,,,,,,,,,904180,1044997,1158867,1227979
国内生产总值,定南县,年,万元,,,,,,,,,,,,,446246,527271,580176,617584
国内生产总值,全南县,年,万元,,,,,,,,,,,,,399120,444798,500437,531388
国内生产总值,于都县,年,万元,,,,,,,,,,,,,1210547,1400128,1534273,1661507
国内生产总值,兴国县,年,万元,,,,,,,,,,,,,1000915,1108360,1218243,1289074
国内生产总值,会昌县,年,万元,,,,,,,,,,,,,601781,675811,733059,799429
国内生产总值,寻乌县,年,万元,,,,,,,,,,,,,402015,446783,524181,558144
国内生产总值,石城县,年,万元,,,,,,,,,,,,,310603,350098,389120,415250
国内生产总值,瑞金市,年,万元,,,,,,,,,,,,,889236,1010897,1131575,1221244
国内生产总值,南康市,年,万元,,,,,,,,,,,,,1228860,1372921,1484801,1701626
国内生产总值,吉安县,年,万元,,,,,,,,,,,,,1060094,1205603,1332639,1429542
国内生产总值,吉水县,年,万元,,,,,,,,,,,,,850661,1002725,1115413,1201584
国内生产总值,峡江县,年,万元,,,,,,,,,,,,,451893,507074,557669,595404
国内生产总值,新干县,年,万元,,,,,,,,,,,,,775152,881549,967914,1034954
国内生产总值,永丰县,年,万元,,,,,,,,,,,,,918482,1047336,1170131,1252990
国内生产总值,泰和县,年,万元,,,,,,,,,,,,,1004778,1136605,1251665,1330101
国内生产总值,遂川县,年,万元,,,,,,,,,,,,,762413,861672,960660,1028574
国内生产总值,万安县,年,万元,,,,,,,,,,,,,462606,518628,575617,616750
国内生产总值,安福县,年,万元,,,,,,,,,,,,,888485,1007746,1118899,1191553
国内生产总值,永新县,年,万元,,,,,,,,,,,,,635064,710046,790038,845293
国内生产总值,井冈山市,年,万元,,,,,,,,,,,,,440396,492838,546494,575711
国内生产总值,奉新县,年,万元,,,,,,,,,,,,,848476,962291,1056841,1125122
国内生产总值,万载县,年,万元,,,,,,,,,,,,,811660,951460,1039046,1102284
国内生产总值,上高县,年,万元,,,,,,,,,,,,,1006431,1132260,1242052,1313801
国内生产总值,宜丰县,年,万元,,,,,,,,,,,,,776030,841864,908136,956502
国内生产总值,靖安县,年,万元,,,,,,,,,,,,,294764,308538,339380,363216
国内生产总值,铜鼓县,年,万元,,,,,,,,,,,,,260481,300431,338029.26,360544
国内生产总值,丰城市,年,万元,,,,,,,,,,,,,3146623,3412327,3704879,3914471
国内生产总值,樟树市,年,万元,,,,,,,,,,,,,2340246,2671126,2922679,3092753
国内生产总值,高安市,年,万元,,,,,,,,,,,,,1512388,1667531,1796783,1901545
国内生产总值,南城县,年,万元,,,,,,,,,,,,,779030,892526,984055,1058014
国内生产总值,黎川县,年,万元,,,,,,,,,,,,,450273,516749,569551,604478
国内生产总值,南丰县,年,万元,,,,,,,,,,,,,766253,884024,979436,1054487
国内生产总值,崇仁县,年,万元,,,,,,,,,,,,,758571,828073,907359,968097
国内生产总值,乐安县,年,万元,,,,,,,,,,,,,401310,441624,471005,501458
国内生产总值,宜黄县,年,万元,,,,,,,,,,,,,408304,490426,543939,580324
国内生产总值,金溪县,年,万元,,,,,,,,,,,,,541114,609740,673539,722026
国内生产总值,资溪县,年,万元,,,,,,,,,,,,,226035,269589,293502,308700
国内生产总值,东乡县,年,万元,,,,,,,,,,,,,979095,1131942,1244732,1335714
国内生产总值,广昌县,年,万元,,,,,,,,,,,,,336323,416272,470187,501347
国内生产总值,上饶县,年,万元,,,,,,,,,,,,,1302720,1471552,1652925,1729188
国内生产总值,广丰县,年,万元,,,,,,,,,,,,,2060030,2400010,2698187,2901842
国内生产总值,玉山县,年,万元,,,,,,,,,,,,,936126,1082779,1254912,1345901
国内生产总值,铅山县,年,万元,,,,,,,,,,,,,732616,840753,904861,972633
国内生产总值,横峰县,年,万元,,,,,,,,,,,,,611345,688136,771119,700012
国内生产总值,弋阳县,年,万元,,,,,,,,,,,,,630158,701296,805046,849937
国内生产总值,余干县,年,万元,,,,,,,,,,,,,939186,1018499,1127117,1200505
国内生产总值,鄱阳县,年,万元,,,,,,,,,,,,,1152019,1531219,1689748,1802827
国内生产总值,万年县,年,万元,,,,,,,,,,,,,800115,918018,1046955,1115220
国内生产总值,婺源县,年,万元,,,,,,,,,,,,,652335,730047,799958,830253
国内生产总值,德兴市,年,万元,,,,,,,,,,,,,1221086,975500,1090289,1150296